더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,"화이트데이 데이트로 런치세트 맛있게 먹고왔어요!

요즘 날씨가 따듯해서 테라스 자리에 앉으면
뷰도 좋고 햇살도 잘 들어와서 사도 인생사진,,!

선택메뉴인데 주문한 메뉴들 다 성공적이었구,
좀 더 더워지면 화덕피자에 생맥주 하러 오려구요!

재방문의사 100% 있음!"
더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,"테라스는 추워서 못 앉아서 아쉽네요
음식이 맛있고 만족스러웠어요
커피는 1번 리필됩니다."
더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,"두번째 방문,
 새로움이 가득한 곳입니다.
특별한 식사를 위한 공간...
샐러드바 같은 런치뷔페였습니다.
커피도 맛있었어요~♡
또 방문 예정입니다.
다정하게 맞아주는 매니저님
칭찬합니다~♡"
더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,"일단 예약제여서 
넘 좋았구요~
음식은 두말 할것 없이 훌륭했구요~
직원분들 모두 너무 친절하신데....
특히 매니저? 여자분의 미소가 
너무 예쁘고, 
친절이 몸에 베이신분 같았어요~♡
이분 때문에 또 갈듯.ㅎㅎ"
더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,"친절하고 피자도 넘 맛있었는데
봉골레는 진심 소금을 쏟아부은듯한 맛이였어요..
원래 이런가?싶다가도 손을 못대겠어서 그냥 두고 나왔어요. 맛이 조금 아쉬웠어요"
더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,"피자, 봉골레 파스타 먹었는데 다 남겼어요... 
너무 짜고 느끼하고 파스타는 모래 씹히는 맛이여서 돈 아까웠습니다"
더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,"그냥 보통입니다😀
청담에 약속있어서 갔는데 매장안이 난로 있는쪽은 뜨겁고 아닌곳은 추워요"
더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,날 좋은 날에 테라스에서 분위기도 분위기지만 무엇보다 맛이 최고..💕 메뉴 하나하나 다 맛있는 곳!!!
더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,"문어 들어간건 다 맛있네요~~~~~
화덕피자는 불향도 좋고 꼬다리가 쫀득하니 맛있더라구요:)
테라스에 앉았는데 노을도 너무 이쁘고 해서 더더 기분좋은 저녁이어요7~
매니져분이 추천해주신 잔와인도 👍"
더 키친 일뽀르노 청담점,서울 강남구 언주로164길 29,"짜도 너무 짜요~
일요일 다른 식당은 예약이 안되고 여긴 예약 되길래 들러봤어요 , 역시 쉽게 예약된 이유는 맛이 없어서였네요
살바토레 쿠오모였을때 좋은 기억 있었는데 더키친일뽀르노는 기대 이하 ㅠ
음식들이 대체로 짜고 나머지는 너무 평범하거나 그이하네요
봉골레의 바지락은 모래가 너무 아스락거려요
아무리 바지락이지만 바지락살이 재첩같이 작아요
43,000 짜리 해산물파스타는 더욱 짰어요
피자는 맛있단 리뷰 있던데…
일단 파스타는 절대 아닙니다
위치가 아깝단 생각이 들었어요"
